bar_place_id,bar_name,bar_vicinity,bar_lat,bar_lon,rank,stop_id,stop_code,stop_name,stop_lat,stop_lon,straight_line_m,walk_distance_m,walk_duration_s
ChIJHfLaQ7ZbFkcRH_Jmpxn2nD0,5th Avenue Restaurant & Lounge Bar,"Dąbska 5, Kraków",50.06459939999999,19.98210259999999,5,stop_1105_347319,112-01,TAURON Arena Kraków al. Pokoju,50.064188,19.988978,493,,
ChIJSW1PeBFbFkcRvgi65blKm0c,AWARIA,"Mikołajska 9, Kraków",50.0612444,19.941935,1,stop_222_35719,806-01,Poczta Główna,50.059797,19.942404,164,,
ChIJSW1PeBFbFkcRvgi65blKm0c,AWARIA,"Mikołajska 9, Kraków",50.0612444,19.941935,2,stop_222_35739,806-03,Poczta Główna,50.059339,19.941821,212,,
ChIJSW1PeBFbFkcRvgi65blKm0c,AWARIA,"Mikołajska 9, Kraków",50.0612444,19.941935,3,stop_222_35729,806-02,Poczta Główna,50.059205,19.942571,231,,
ChIJSW1PeBFbFkcRvgi65blKm0c,AWARIA,"Mikołajska 9, Kraków",50.0612444,19.941935,4,stop_1102_347019,817-01,św. Gertrudy,50.058627,19.940988,299,,
ChIJSW1PeBFbFkcRvgi65blKm0c,AWARIA,"Mikołajska 9, Kraków",50.0612444,19.941935,5,stop_1102_347029,817-02,św. Gertrudy,50.058486,19.940838,317,,
ChIJl1yI7mpbFkcRQN67IvZRx-U,Absynt Cafe & Bar,"Miodowa 28, Kraków",50.05311690000001,19.9455244,1,stop_227_36219,815-01,Miodowa,50.053886,19.948108,203,,
ChIJl1yI7mpbFkcRQN67IvZRx-U,Absynt Cafe & Bar,"Miodowa 28, Kraków",50.05311690000001,19.9455244,2,stop_227_36229,815-02,Miodowa,50.05321,19.9489,241,,
ChIJl1yI7mpbFkcRQN67IvZRx-U,Absynt Cafe & Bar,"Miodowa 28, Kraków",50.05311690000001,19.9455244,3,stop_224_35939,819-03,Stradom,50.052258,19.942061,265,,
ChIJl1yI7mpbFkcRQN67IvZRx-U,Absynt Cafe & Bar,"Miodowa 28, Kraków",50.05311690000001,19.9455244,4,stop_224_35929,819-02,Stradom,50.052086,19.941166,332,,
ChIJl1yI7mpbFkcRQN67IvZRx-U,Absynt Cafe & Bar,"Miodowa 28, Kraków",50.05311690000001,19.9455244,5,stop_224_35949,819-04,Stradom,50.050842,19.942415,337,,
ChIJ8W8oerpbFkcRiIbINxB6AWc,Akwarium. Klubokawiarnia,"Juliusza Lea 90a, Kraków",50.0717746,19.9085734,1,stop_1554_380829,,UKEN,50.07426,19.909991,294,,
ChIJ8W8oerpbFkcRiIbINxB6AWc,Akwarium. Klubokawiarnia,"Juliusza Lea 90a, Kraków",50.0717746,19.9085734,2,stop_1554_380819,,UKEN,50.074123,19.910791,305,,
ChIJ8W8oerpbFkcRiIbINxB6AWc,Akwarium. Klubokawiarnia,"Juliusza Lea 90a, Kraków",50.0717746,19.9085734,3,stop_319_104919,,Głowackiego,50.07536,19.9068,418,,
