place_id,name,lat,lon,vicinity
ChIJjdm7YElbFkcRbTeJT0nNNXc,"plac jana nowaka-jeziorankiego, krakow",50.0549158,19.9467434,"Starowiślna 45, Kraków"
ChIJ19fUTrRDFkcR0bU-s1SfFpg,Wypiekane,50.0127867,20.0086895,"Jana Kurczaba 29, Kraków"
ChIJ06xV0RFbFkcRiKN6NoAz-Vo,Huki Muki,50.0636042,19.9402927,"Floriańska 26, Kraków"
ChIJx9oWOatbFkcRVkTWilS_mmU,Tawerna Wilczy Dół,50.0629123,19.9412298,"Szpitalna 22, Kraków"
ChIJNePxKABbFkcRsH2oAKDvGGs,Grill Piwo Łobzów,50.0766462,19.9109411,"3WG6+M9, Kraków"
ChIJQ6OruW5bFkcRrFkgEW_19pg,T.E.A. TIME Brewpub,50.0500996,19.9364737,"Józefa Dietla 1, Kraków"
ChIJJ_KTkAVbFkcRUyTsCi5TgpA,Chata Restaurant,50.0680659,19.937535,"Krowoderska 21, Kraków"
ChIJyz1UIgBbFkcRwSWss7OZqbI,Samochód,50.063588,19.93442,"Szczepańska 3A, Kraków"
ChIJ-7YUNNlbFkcR-fret0Lrx5k,Hookah Place Krakow,50.0491433,19.9598193,"Zabłocie 19A, Kraków"
ChIJEXj7Zw5bFkcRBRuvUCurROM,Youmiko Sushi,50.0518873,19.9425944,"Miodowa 4/pasaż, Kraków"
ChIJUR6KtQRbFkcRfvjtQUT_egk,Polibuda Pub,50.0696612,19.9438825,"Warszawska 17, Kraków"
ChIJ-QyMJGpbFkcR7gINGKIU_bs,Strefa Piwa,50.0505556,19.9433333,"Józefa 6, Kraków"
ChIJ60FTVolbFkcRoK27geb_p8g,Studio 35mm/ml,50.04947539999999,19.9431455,"Krakowska 30, Kraków"
ChIJFwWIW2pbFkcR3IuB-QZ3Dmo,Tajemniczy Ogród,50.05203119999999,19.9447015,"plac Nowy 9, Kraków"
ChIJyXCUPWpbFkcRkLaDQ1JL3aY,Klub Wódki,50.0506047,19.9440588,"Józefa 12, Kraków"
ChIJSUJBYw5bFkcRXXpS9XDLUDk,Four Music Club,50.062794,19.9353879,"Jagiellońska 6, Kraków"
ChIJtd_3L6RbFkcRVtxLV2dTQJE,Chill #53 Cafe & Bar,50.06638909999999,19.968311,"Mogilska 53, Kraków"
ChIJnetrZABbFkcREfxVeubvOag,Cherry,50.0634789,19.9400464,"Floriańska 22, Kraków"
ChIJs6G3rIFbFkcRk6QvxD6Pu6A,Wino Metal,50.05113309999999,19.9432927,"Beera Meiselsa 16, Kraków"
ChIJwfM_kA5bFkcR8leuJm6xocM,Klub Kulturalny,50.0630185,19.93405,"Szewska 25, Kraków"
ChIJi8cTOjFbFkcRvUsuWYfAIZw,Deluxe Hookah,50.0668957,19.959048,"Aleja Pułkownika Władysława Beliny-Prażmowskiego 2d, Kraków"
ChIJw2ObjXpdFkcR8eV6xrOl2XE,Tex Mex Bar,50.03645549999999,19.9248629,"Kapelanka 43, Kraków"
ChIJB3nrzm9bFkcRObSKqdHdPPQ,FABRYCZNA 13 BAR,50.0633244,19.972953,"Fabryczna 13, Kraków"
ChIJLTIG1RVbFkcRP9WA20hOE6A,Hex Cafe,50.05938379999999,19.94940399999999,"Generała Józefa Dwernickiego 5, Kraków"
ChIJuw32TMlFFkcRjv123vLRUEY,Arena Garden,50.0676678,19.9929083,"Stanisława Lema 7, Kraków"
